iter	Passed	Remaining
445	1319	1638
446	1323	1637
447	1327	1635
448	1331	1633
449	1336	1633
450	1341	1633
451	1345	1630
452	1349	1629
453	1353	1628
454	1358	1626
455	1362	1625
456	1369	1626
457	1372	1624
458	1376	1622
459	1380	1620
460	1385	1620
461	1389	1618
462	1395	1618
463	1399	1617
464	1403	1614
465	1406	1612
466	1410	1609
467	1415	1609
468	1419	1606
469	1423	1605
470	1429	1605
471	1433	1603
472	1436	1600
473	1441	1599
474	1445	1597
475	1449	1595
476	1454	1594
477	1503	1641
478	1509	1642
479	1514	1640
480	1519	1639
481	1524	1638
482	1527	1635
483	1529	1630
484	1531	1626
485	1536	1624
486	1541	1623
487	1545	1621
488	1555	1625
489	1557	1621
490	1560	1617
491	1563	1614
492	1568	1613
493	1573	1611
494	1576	1608
495	1585	1611
496	1588	1607
497	1590	1602
498	1592	1598
499	1595	1595
500	1601	1595
501	1604	1591
502	1607	1588
503	1610	1584
504	1616	1584
505	1619	1581
506	1621	1576
507	1623	1572
508	1625	1568
509	1627	1563
510	1630	1559
511	1631	1555
512	1634	1551
513	1637	1547
514	1639	1543
515	1643	1541
516	1653	1544
517	1655	1540
518	1657	1536
519	1659	1531
520	1662	1528
521	1664	1524
522	1667	1520
523	1673	1519
524	1676	1516
525	1678	1512
526	1679	1507
527	1681	1503
528	1682	1498
529	1684	1493
530	1685	1488
531	1687	1484
532	1690	1481
533	1692	1477
534	1694	1472
535	1695	1467
536	1696	1463
537	1698	1458
538	1700	1454
539	1703	1450
540	1706	1447
541	1707	1443
542	1709	1438
543	1710	1433
544	1712	1429
545	1713	1424
546	1714	1419
547	1715	1415
548	1718	1411
549	1721	1408
550	1723	1404
551	1726	1400
552	1728	1397
553	1731	1393
554	1736	1392
555	1739	1388
556	1741	1385
557	1744	1381
558	1748	1379
559	1751	1376
560	1755	1373
561	1758	1370
562	1763	1368
563	1768	1367
564	1772	1364
565	1777	1362
566	1781	1360
567	1784	1357
568	1787	1354
569	1790	1351
570	1797	1350
571	1801	1348
572	1805	1345
573	1810	1343
574	1814	1341
575	1817	1338
576	1820	1334
577	1824	1331
578	1827	1328
579	1829	1324
580	1831	1320
581	1833	1316
582	1834	1312
583	1837	1309
584	1840	1305
585	1842	1301
586	1844	1297
587	1846	1293
588	1848	1289
589	1849	1285
590	1851	1281
591	1854	1278
592	1855	1273
593	1857	1269
594	1858	1265
595	1859	1260
596	1860	1256
597	1862	1251
598	1863	1247
599	1864	1243
600	1866	1238
601	1867	1234
602	1869	1230
603	1870	1226
604	1872	1222
605	1873	1218
606	1874	1213
607	1876	1209
608	1877	1205
609	1879	1201
610	1880	1197
611	1882	1193
612	1885	1190
613	1887	1186
614	1888	1182
615	1890	1178
616	1891	1174
617	1892	1169
618	1894	1165
619	1895	1161
620	1897	1157
621	1899	1154
622	1900	1150
623	1902	1146
624	1903	1142
625	1904	1138
626	1905	1133
627	1907	1129
628	1908	1125
629	1909	1121
630	1911	1117
631	1914	1114
632	1916	1111
633	1918	1107
634	1919	1103
635	1921	1099
636	1922	1095
637	1924	1091
638	1925	1088
639	1927	1084
640	1930	1080
641	1931	1077
642	1933	1073
643	1935	1069
644	1937	1066
645	1938	1062
646	1940	1058
647	1941	1054
648	1944	1051
649	1946	1048
650	1947	1044
651	1949	1040
652	1950	1036
653	1951	1032
654	1953	1028
655	1954	1025
656	1956	1021
657	1958	1017
658	1960	1014
659	1962	1010
660	1963	1007
661	1965	1003
662	1966	999
663	1968	996
664	1969	992
665	1972	989
666	1975	986
667	1977	982
668	1978	978
669	1980	975
670	1981	971
671	1983	967
672	1984	964
673	1985	960
674	1987	956
675	1989	953
676	1991	949
677	1992	946
678	1993	942
679	1994	938
680	1996	935
681	1997	931
682	1998	927
683	1999	923
684	2002	920
685	2005	918
686	2008	915
687	2010	911
688	2012	908
689	2015	905
690	2017	902
691	2020	899
692	2022	896
693	2025	893
694	2029	890
695	2031	887
696	2034	884
697	2037	881
698	2039	878
699	2041	875
700	2044	871
701	2046	868
702	2048	865
703	2051	862
704	2053	859
705	2054	855
706	2056	852
707	2058	849
708	2060	845
709	2063	842
710	2066	840
711	2068	836
712	2070	833
713	2072	830
714	2075	827
715	2077	824
716	2080	821
717	2082	818
718	2085	814
719	2087	811
720	2089	808
721	2091	805
722	2095	802
723	2098	799
724	2100	796
725	2103	793
726	2106	790
727	2110	788
728	2113	785
729	2116	782
730	2119	779
731	2122	777
732	2127	774
733	2130	772
734	2134	769
735	2137	766
736	2141	764
737	2145	761
738	2148	758
739	2150	755
740	2155	753
741	2158	750
742	2161	747
743	2164	744
744	2167	741
745	2170	738
746	2174	736
747	2177	733
748	2180	730
749	2183	727
750	2187	725
751	2190	722
752	2193	719
753	2196	716
754	2199	713
755	2202	710
756	2205	707
757	2208	704
758	2210	701
759	2213	698
760	2218	696
761	2221	693
762	2223	690
763	2226	687
764	2230	685
765	2233	682
766	2236	679
767	2238	676
768	2241	673
769	2251	672
770	2255	669
771	2258	667
772	2263	664
773	2266	661
774	2269	658
775	2272	655
776	2275	652
777	2279	650
778	2281	647
779	2284	644
780	2287	641
781	2291	638
782	2294	635
783	2297	633
784	2300	630
785	2303	627
786	2309	624
787	2312	622
788	2314	619
789	2317	616
790	2321	613
791	2324	610
792	2327	607
793	2330	604
794	2333	601
795	2336	598
796	2340	596
797	2344	593
798	2347	590
799	2349	587
800	2353	584
801	2356	581
802	2359	578
803	2362	575
804	2365	572
805	2369	570
806	2372	567
807	2375	564
808	2377	561
809	2380	558
810	2383	555
811	2386	552
812	2389	549
813	2391	546
814	2394	543
815	2398	540
816	2401	537
817	2403	534
818	2406	531
819	2409	528
820	2411	525
821	2414	522
822	2417	519
823	2420	516
824	2422	513
825	2425	510
826	2430	508
827	2433	505
828	2436	502
829	2438	499
830	2442	496
831	2445	493
832	2448	490
833	2450	487
834	2454	484
835	2457	482
836	2461	479
837	2463	476
838	2466	473
839	2468	470
840	2472	467
841	2475	464
842	2478	461
843	2481	458
844	2483	455
845	2486	452
846	2491	449
847	2493	446
848	2496	443
849	2499	441
850	2502	438
851	2505	435
852	2508	432
853	2511	429
854	2514	426
855	2517	423
856	2521	420
857	2524	417
858	2527	414
859	2529	411
860	2533	409
861	2536	406
862	2539	403
863	2542	400
864	2545	397
865	2548	394
866	2552	391
867	2555	388
868	2558	385
869	2561	382
870	2565	379
871	2568	377
872	2571	374
873	2574	371
874	2576	368
875	2581	365
876	2584	362
877	2587	359
878	2589	356
879	2592	353
880	2596	350
881	2599	347
882	2601	344
883	2604	341
884	2607	338
885	2612	336
886	2615	333
887	2617	330
888	2620	327
889	2624	324
890	2627	321
891	2630	318
892	2633	315
893	2635	312
894	2639	309
895	2643	306
896	2646	303
897	2648	300
898	2651	297
899	2654	294
900	2658	292
901	2661	289
902	2665	286
903	2668	283
904	2672	280
905	2674	277
906	2676	274
907	2679	271
908	2681	268
909	2684	265
910	2686	262
911	2689	259
912	2692	256
913	2694	253
914	2696	250
915	2699	247
916	2703	244
917	2705	241
918	2708	238
919	2711	235
920	2713	232
921	2716	229
922	2719	226
923	2722	223
924	2725	220
925	2728	218
926	2732	215
927	2735	212
928	2737	209
929	2740	206
930	2743	203
931	2746	200
932	2749	197
933	2752	194
934	2754	191
935	2756	188
936	2760	185
937	2764	182
938	2767	179
939	2769	176
940	2772	173
941	2775	170
942	2778	167
943	2781	165
944	2783	162
945	2786	159
946	2789	156
947	2792	153
948	2795	150
949	2797	147
950	2800	144
951	2803	141
952	2806	138
953	2809	135
954	2812	132
955	2814	129
956	2817	126
957	2819	123
958	2823	120
959	2825	117
960	2828	114
961	2831	111
962	2834	108
963	2836	105
964	2840	103
965	2842	100
966	2845	97
967	2847	94
968	2849	91
969	2854	88
970	2856	85
971	2859	82
972	2862	79
973	2865	76
974	2868	73
975	2871	70
976	2874	67
977	2876	64
978	2879	61
979	2882	58
980	2885	55
981	2888	52
982	2890	49
983	2892	47
984	2894	44
985	2897	41
986	2900	38
987	2902	35
988	2904	32
989	2907	29
990	2909	26
991	2912	23
992	2915	20
993	2918	17
994	2920	14
995	2922	11
996	2924	8
997	2927	5
998	2930	2
999	2932	0
